NAICS,Purchases from,In-region Purchases,% In-region Purchases,Imported Purchases,% Imported Purchases,Total Purchases,Cluster Name,Cluster ID,SBDC Region
335931,Current-Carrying Wiring Device Manufacturing,169633.9085,0.019402296,8573347.055,0.980597704,8742980.964,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
561320,Temporary Help Services,6759806.702,0.774177064,1971796.202,0.225822936,8731602.905,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
424210,Drugs and Druggists' Sundries Merchant Wholesalers,157870.3696,0.018152705,8538925.338,0.981847295,8696795.707,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
221122,Electric Power Distribution,6741793.752,0.792121392,1769267.58,0.207878608,8511061.332,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423510,Metal Service Centers and Other Metal Merchant Wholesalers,4216558.511,0.497351697,4261463.245,0.502648303,8478021.757,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
531110,Lessors of Residential Buildings and Dwellings,8142564.12,0.962378299,318312.573,0.037621701,8460876.693,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
325510,Paint and Coating Manufacturing,324495.9312,0.038680662,8064603.81,0.961319338,8389099.742,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
482110,Rail transportation,5639926.091,0.686858155,2571268.683,0.313141845,8211194.774,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331318,"Other Aluminum Rolling, Drawing, and Extruding",151577.1168,0.018588712,8002678.829,0.981411288,8154255.946,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,1214267.49,0.155033505,6618023.29,0.844966495,7832290.78,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331512,Steel Investment Foundries,0.0,0.0,7757759.084,1.0,7757759.084,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
484110,"General Freight Trucking, Local",3277596.366,0.422531137,4479456.5,0.577468863,7757052.866,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",600899.0727,0.077542541,7148383.657,0.922457459,7749282.73,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331523,Nonferrous Metal Die-Casting Foundries,1368959.7,0.179240981,6268577.703,0.820759019,7637537.403,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331513,Steel Foundries (except Investment),0.0,0.0,7615036.417,1.0,7615036.417,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
325211,Plastics Material and Resin Manufacturing,1005187.948,0.14393041,5978658.944,0.85606959,6983846.893,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,2184455.714,0.314972149,4750937.53,0.685027851,6935393.245,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",908427.1688,0.134252713,5858118.915,0.865747287,6766546.084,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,494197.586,0.074329865,6154510.642,0.925670135,6648708.228,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,0.0,0.0,6569462.073,1.0,6569462.073,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423840,Industrial Supplies Merchant Wholesalers,2362141.691,0.361932767,4164323.734,0.638067233,6526465.425,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332312,Fabricated Structural Metal Manufacturing,2268946.601,0.354168411,4137459.316,0.645831589,6406405.917,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423130,Tire and Tube Merchant Wholesalers,599800.7218,0.094167666,5769696.873,0.905832334,6369497.595,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331529,Other Nonferrous Metal Foundries (except Die-Casting),1663262.763,0.265617949,4598598.577,0.734382051,6261861.34,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
531210,Offices of Real Estate Agents and Brokers,2892398.626,0.462843996,3356788.255,0.537156004,6249186.881,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",988213.391,0.161047118,5147962.177,0.838952882,6136175.568,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,4419237.634,0.737723794,1571131.216,0.262276206,5990368.85,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331524,Aluminum Foundries (except Die-Casting),546051.4518,0.091285324,5435758.41,0.908714676,5981809.862,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",1790972.364,0.312582527,3938626.091,0.687417473,5729598.456,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
333996,Fluid Power Pump and Motor Manufacturing,35184.6591,0.006172925,5664650.831,0.993827075,5699835.49,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),3136499.853,0.553034633,2534934.924,0.446965367,5671434.777,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
493110,General Warehousing and Storage,1865592.248,0.333492105,3728519.94,0.666507895,5594112.188,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",4380671.939,0.811794337,1015611.01,0.188205663,5396282.95,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
531390,Other Activities Related to Real Estate,2512332.647,0.473072209,2798342.133,0.526927791,5310674.78,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",244563.1905,0.046500361,5014819.379,0.953499639,5259382.57,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423710,Hardware Merchant Wholesalers,42415.99825,0.008090275,5200421.316,0.991909725,5242837.314,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
334419,Other Electronic Component Manufacturing,18823.68774,0.003632674,5162948.822,0.996367326,5181772.51,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423930,Recyclable Material Merchant Wholesalers,812015.091,0.15939493,4282344.493,0.84060507,5094359.584,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",198620.1566,0.040416264,4715741.977,0.959583736,4914362.134,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
333613,Mechanical Power Transmission Equipment Manufacturing,0.0,0.0,4886125.07,1.0,4886125.07,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
541611,Administrative Management and General Management Consulting Services,1464545.383,0.301054234,3400177.38,0.698945766,4864722.763,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
481111,Scheduled Passenger Air Transportation,14623.86682,0.003026173,4817838.549,0.996973827,4832462.416,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336211,Motor Vehicle Body Manufacturing,991133.0616,0.206945226,3798216.661,0.793054774,4789349.723,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1488940.974,0.311462643,3291539.147,0.688537357,4780480.121,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
524126,Direct Property and Casualty Insurance Carriers,1520186.138,0.319768426,3233835.885,0.680231574,4754022.023,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",47124.00843,0.010425619,4472896.354,0.989574381,4520020.362,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
425120,Wholesale Trade Agents and Brokers,2164843.651,0.481133866,2334618.565,0.518866134,4499462.215,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326291,Rubber Product Manufacturing for Mechanical Use,489731.8448,0.109521061,3981845.048,0.890478939,4471576.893,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
492110,Couriers and Express Delivery Services,1297128.694,0.297474809,3063336.975,0.702525191,4360465.669,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
541990,"All Other Professional, Scientific, and Technical Services",1701386.166,0.39051924,2655341.982,0.60948076,4356728.148,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,608037.5058,0.139857527,3739511.877,0.860142473,4347549.383,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326299,All Other Rubber Product Manufacturing,41840.47699,0.009661651,4288731.589,0.990338349,4330572.066,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331222,Steel Wire Drawing,97926.77686,0.022889595,4180295.591,0.977110405,4278222.368,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326111,Plastics Bag and Pouch Manufacturing,91941.80942,0.022392124,4014046.972,0.977607876,4105988.781,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
541330,Engineering Services,478869.4433,0.11758731,3593589.079,0.88241269,4072458.522,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
484220,"Specialized Freight (except Used Goods) Trucking, Local",2357689.62,0.585121478,1671712.325,0.414878522,4029401.945,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
333995,Fluid Power Cylinder and Actuator Manufacturing,0.0,0.0,4014610.51,1.0,4014610.51,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,723463.1768,0.180753559,3279020.538,0.819246441,4002483.714,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332618,Other Fabricated Wire Product Manufacturing,1552979.927,0.395362611,2375008.924,0.604637389,3927988.851,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
524114,Direct Health and Medical Insurance Carriers,639212.4732,0.165876426,3214333.74,0.834123574,3853546.213,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",795675.2054,0.207191359,3044616.248,0.792808641,3840291.453,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335921,Fiber Optic Cable Manufacturing,0.0,0.0,3799529.175,1.0,3799529.175,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423220,Home Furnishing Merchant Wholesalers,152230.9074,0.040596224,3597647.591,0.959403776,3749878.498,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
541512,Computer Systems Design Services,376430.0033,0.106551789,3156406.081,0.893448211,3532836.084,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1466432.477,0.416161056,2057281.372,0.583838944,3523713.849,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,684609.9021,0.197227425,2786560.005,0.802772575,3471169.907,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332111,Iron and Steel Forging,660811.7237,0.191426914,2791219.702,0.808573086,3452031.426,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423210,Furniture Merchant Wholesalers,268891.1752,0.078502013,3156386.284,0.921497987,3425277.459,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",363283.5332,0.106385091,3051513.869,0.893614909,3414797.402,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335932,Noncurrent-Carrying Wiring Device Manufacturing,0.0,0.0,3372702.531,1.0,3372702.531,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335910,Battery Manufacturing,0.0,0.0,3305373.966,1.0,3305373.966,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
